,tweet_id,favorites,retweets
0,666020888022790149,2527,523
1,666029285002620928,131,47
2,666033412701032449,126,46
3,666044226329800704,305,143
4,666049248165822465,110,40
5,666050758794694657,135,59
6,666051853826850816,1243,869
7,666055525042405380,447,259
8,666057090499244032,304,144
9,666058600524156928,115,59
10,666063827256086533,489,226
11,666071193221509120,153,65
12,666073100786774016,328,172
13,666082916733198337,120,46
14,666094000022159362,166,76
15,666099513787052032,160,72
16,666102155909144576,80,14
17,666104133288665088,14597,6779
18,666268910803644416,107,36
19,666273097616637952,180,79
20,666287406224695296,151,70
21,666293911632134144,515,364
22,666337882303524864,202,95
23,666345417576210432,305,144
24,666353288456101888,227,74
25,666362758909284353,794,586
26,666373753744588802,193,95
27,666396247373291520,170,90
28,666407126856765440,112,42
29,666411507551481857,457,337
30,666418789513326592,126,47
31,666421158376562688,323,117
32,666428276349472768,169,89
33,666430724426358785,324,202
34,666435652385423360,170,54
35,666437273139982337,130,51
36,666447344410484738,106,22
37,666454714377183233,537,217
38,666644823164719104,236,87
39,666649482315059201,910,601
40,666691418707132416,192,50
41,666701168228331520,444,227
42,666739327293083650,241,69
43,666776908487630848,363,184
44,666781792255496192,400,206
45,666786068205871104,795,515
46,666804364988780544,248,94
47,666817836334096384,535,262
48,666826780179869698,263,102
49,666835007768551424,222,82
50,666837028449972224,847,577
51,666983947667116034,2651,1031
52,666996132027977728,254,101
53,667012601033924608,466,236
54,667044094246576128,195,52
55,667062181243039745,224,57
56,667065535570550784,173,50
57,667073648344346624,420,131
58,667090893657276420,344,131
59,667119796878725120,343,134
60,667138269671505920,4790,2353
61,667152164079423490,49313,18069
62,667160273090932737,265,66
63,667165590075940865,2786,1217
64,667171260800061440,231,97
65,667174963120574464,259,86
66,667176164155375616,631,482
67,667177989038297088,197,58
68,667182792070062081,14948,6548
69,667188689915760640,777,444
70,667192066997374976,410,114
71,667200525029539841,647,279
72,667211855547486208,512,257
73,667369227918143488,384,171
74,667393430834667520,206,60
75,667405339315146752,486,231
76,667435689202614272,322,88
77,667437278097252352,473,255
78,667443425659232256,818,615
79,667453023279554560,324,95
80,667455448082227200,200,66
81,667470559035432960,271,101
82,667491009379606528,554,237
83,667495797102141441,553,293
84,667502640335572993,557,230
85,667509364010450944,7084,2247
86,667517642048163840,387,202
87,667524857454854144,1782,1184
88,667530908589760512,494,260
89,667534815156183040,858,570
90,667538891197542400,214,72
91,667544320556335104,908,559
92,667546741521195010,348,135
93,667549055577362432,6071,2434
94,667550882905632768,0,34
95,667550904950915073,0,37
96,667724302356258817,513,340
97,667728196545200128,392,160
98,667766675769573376,471,236
99,667773195014021121,242,61
100,667782464991965184,431,257
101,667793409583771648,728,354
102,667801013445750784,343,100
103,667806454573760512,1099,527
104,667832474953625600,299,68
105,667861340749471744,252,84
106,667866724293877760,3135,1095
107,667873844930215936,659,435
108,667878741721415682,407,126
109,667885044254572545,857,521
110,667886921285246976,1983,1168
111,667902449697558528,886,394
112,667911425562669056,518,324
113,667915453470232577,219,59
114,667924896115245057,315,120
115,667937095915278337,1343,852
116,668113020489474048,698,264
117,668142349051129856,587,305
118,668154635664932864,517,335
119,668171859951755264,518,207
120,668190681446379520,684,208
121,668204964695683073,581,205
122,668221241640230912,531,214
123,668226093875376128,322,113
124,668237644992782336,6531,3055
125,668248472370458624,1048,521
126,668256321989451776,1371,662
127,668268907921326080,585,257
128,668274247790391296,874,247
129,668286279830867968,529,149
130,668291999406125056,261,34
131,668297328638447616,650,316
132,668466899341221888,930,552
133,668480044826800133,485,161
134,668484198282485761,448,250
135,668496999348633600,431,144
136,668507509523615744,342,114
137,668528771708952576,490,240
138,668537837512433665,259,78
139,668542336805281792,486,228
140,668544745690562560,545,248
141,668567822092664832,259,62
142,668614819948453888,642,338
143,668620235289837568,210,45
144,668623201287675904,1524,843
145,668625577880875008,415,140
146,668627278264475648,335,122
147,668631377374486528,752,345
148,668633411083464705,2979,1760
149,668636665813057536,1098,518
150,668641109086707712,1130,569
151,668643542311546881,929,571
152,668645506898350081,948,582
153,668655139528511488,555,232
154,668779399630725120,740,402
155,668815180734689280,600,289
156,668826086256599040,460,150
157,668852170888998912,472,178
158,668872652652679168,554,319
159,668892474547511297,415,163
160,668902994700836864,333,106
161,668932921458302977,281,62
162,668955713004314625,298,76
163,668960084974809088,744,260
164,668975677807423489,1376,630
165,668979806671884288,833,377
166,668981893510119424,568,333
167,668986018524233728,575,181
168,668988183816871936,950,512
169,668989615043424256,714,352
170,668992363537309700,789,377
171,668994913074286592,462,251
172,669000397445533696,21924,6859
173,669006782128353280,603,268
